6286.500,-7.279284,112.798009,2.63,30.81,-29.29,17.24,141.76,326.25,-28.92,4388.07,5297.35,10.43,12.32,3
6286.600,-7.279315,112.798016,0.65,-36.13,30.89,22.76,53.18,328.50,-8.84,1872.29,5040.34,10.90,12.51,2
6286.700,-7.279762,112.797791,0.89,39.14,-5.02,-160.16,131.59,330.75,8.40,4034.17,657.87,12.05,12.05,2
6286.800,-7.279342,112.797850,0.20,16.97,24.43,159.42,-160.45,333.00,-32.17,485.08,2513.98,11.40,10.56,2
6286.900,-7.279315,112.797633,0.44,-31.99,38.80,106.14,-12.36,335.25,-26.77,4949.65,3633.69,11.39,11.83,3
6287.000,-7.278912,112.797574,0.75,16.44,-8.35,-14.30,-60.13,337.50,-8.00,419.99,3428.72,11.10,11.15,1
6287.100,-7.278690,112.798140,1.68,-16.80,7.16,168.47,27.37,339.75,-8.58,413.84,3092.26,10.87,12.41,2
6287.200,-7.278688,112.797942,3.47,-19.46,-18.64,-134.30,-46.73,342.00,-18.83,4338.07,2409.10,10.18,11.05,3
6287.300,-7.279397,112.797959,2.71,3.40,25.02,-6.32,-144.72,344.25,33.77,5512.61,3066.24,10.61,10.16,4
6287.400,-7.278634,112.798151,3.23,17.77,4.84,14.48,-50.04,346.50,-15.55,1718.97,258.67,12.27,11.89,1
6287.500,-7.278996,112.798635,1.00,-8.64,-3.98,-175.79,165.85,348.75,5.15,884.61,431.80,11.72,10.92,1
6287.600,-7.279123,112.798451,2.79,-3.24,0.82,-168.70,-15.26,351.00,-23.12,5059.94,2830.32,12.16,11.86,3
6287.700,-7.278886,112.798588,0.13,-7.64,-2.20,-18.30,-107.78,353.25,-34.11,849.00,1804.97,11.90,10.78,1
6287.800,-7.279097,112.798794,2.03,3.87,31.45,-80.28,129.42,355.50,8.57,1694.10,5149.01,11.11,10.79,0
6287.900,-7.278642,112.799098,0.59,24.91,27.24,49.41,-175.46,357.75,-10.76,3012.32,5864.92,12.15,12.28,3
6288.000,-7.280882,112.798422,0.48,-12.34,29.15,120.40,102.97,0.00,33.92,1124.97,1223.42,11.35,12.59,4
